Бранч, Общо, 0-9, 10-19, 20-49, 50-249, 250+
Добивна промишленост, 19 144, 467, 596, 1 088, 3 504, 13 489
Преработваща промишленост, 539 990, 60 915, 39 189, 80 244, 167 856, 191 786
Производство и разпределение на електрическа и топлинна енергия и на газообразни горива, 31436, 2293,	858, 941, 1980, 25364
Доставяне на води; канализационни услуг; управление на отпадъци и възстановяване, 32 826, 1 382, 1 129, 2 596,	7 044,	20 675
Строителство,	156 177,	39 220,	22 875,	30 795,	48 338,	14 949
Търговия; ремонт на автомобили и мотоциклети,	517 996,	247 606,	60 446,	69 855,	77 312,	62 777
Транспорт; складиране и пощи,	174 108,	48 034,	16 944,	18 734,	27 503,	62 893
Хотелиерство и ресторантьорство,	152 658,	57 201,	24 222,	27 351,	32 815,	11 069
Създаване и разпространение на информация и творчески продукти; далекосъобщения,	114 429,	23 115,	8 291,	12 716,	27 204,	43 103
Професионални дейности и научни изследвания,	116 688,	72 563,	10 366,	9 959,	12 422,	11 378
Административни и спомагателни дейности,	117 138,	18 690,	7 368,	12 855,	27 282,	50 943